run_tag,trial,mode,task_id,task_type,category,question,ok,answer,score,format_ok,latency_sec,error
baseline,1,single_pass,K1,keywords,terminology,什么是EPS？,True,"**EPS（每股收益，Earnings Per Share）** 是衡量公司盈利能力的关键财务指标，计算公式为：

\[
\text{EPS} = \frac{\text{净利润} - \text{优先股股息}}{\text{流通普通股加权平均数}}
\]

**主要作用：**
- 反映公司为每股普通股创造的利润。
- 用于评估公司盈利能力和股票估值（如市盈率 P/E = 股价 ÷ EPS）。

**常见类型：**
1. **基本 EPS**：基于实际已发行股数计算。
2. **稀释 EPS**：考虑潜在稀释效应（如可转债、期权行权后可能增加的股数）。

**示例**：若公司净利润1亿元，优先股股息0，普通股加权平均数5000万股，则 EPS = 2元/股。

**注意**：EPS 需结合行业、公司增长趋势及现金流等综合分析，单一指标易受会计调整或短期因素影响。",1.0,1.0,11.79847240447998,
baseline,1,single_pass,K2,keywords,terminology,什么是自由现金流（FCF）？,True,"自由现金流（FCF）是企业经营活动产生的现金流扣除资本支出（如购买设备、厂房等维持或扩大经营所需的投资）后剩余的现金流。它反映了企业真正可供自由支配的现金，可用于偿还债务、发放股息、回购股票或进行新投资，是衡量企业财务健康和内在价值的关键指标。计算方式通常为：  
**FCF = 经营活动现金流 - 资本支出**。",0.0,1.0,5.949568510055542,
baseline,1,single_pass,K3,keywords,risk,什么是流动性风险？,True,"流动性风险是指**资产无法在短期内以合理价格迅速变现，或企业无法及时获得足够资金履行到期债务**的风险。它主要分为两类：

1. **市场流动性风险**  
   资产（如股票、债券、房产）因市场交易不活跃或需求不足，难以快速卖出，或被迫以大幅折价出售。

2. **资金流动性风险**  
   企业或个人虽拥有资产，但短期内缺乏可用现金支付到期债务（如贷款、工资），导致违约或破产。

### 常见例子：
- **个人**：急需用钱时房产难快速卖出，被迫降价出售。
- **企业**：应收账款未到账，但短期债务到期，导致资金链断裂。
- **金融机构**：银行遭遇集中挤兑，存款流失过快而资产无法及时变现。

### 影响与应对：
- **影响**：可能引发连锁违约、市场恐慌，甚至系统性金融危机。
- **管理**：保持适度现金储备、多元化融资渠道、匹配资产与负债期限、压力测试等。

简言之，流动性风险本质是 **“有资产但缺现金”** 的困境，强调资金的时间匹配与市场变现能力。",1.0,1.0,9.253446578979492,
baseline,1,single_pass,K4,keywords,portfolio,什么是分散化投资？,True,"分散化投资是指将资金分配到**不同资产类别、行业、地区或投资工具**中，以降低单一投资带来的风险。核心原理是“不把所有鸡蛋放在一个篮子里”。

### 主要特点：
1. **降低风险**  
   不同资产的价格波动不完全同步，部分亏损可能被其他收益抵消，从而平滑整体投资回报的波动性。

2. **提升稳定性**  
   通过组合相关性较低的投资（如股票、债券、大宗商品），减少市场极端波动对整体组合的冲击。

3. **不保证绝对收益**  
   分散化主要管理风险，而非直接提高收益，目的是在可接受的风险水平下实现更可持续的回报。

### 常见方式：
- **资产类别分散**：配置股票、债券、现金、房地产等。
- **行业分散**：投资多个行业（如科技、医疗、消费）。
- **地理分散**：覆盖不同国家或地区的市场。
- **工具分散**：使用基金、ETF、个股等不同金融产品。

### 简单示例：
若只投资单一科技股，可能因行业政策变化大幅亏损；若同时配置消费股、国债和黄金，科技股下跌时其他资产可能表现稳健，降低整体损失。

分散化是长期投资的基础策略，适合大多数投资者，但需根据个人风险承受能力和目标调整配置比例。",1.0,1.0,8.867644548416138,
baseline,1,single_pass,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,1.1035175323486328,
baseline,1,single_pass,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,1.8960204124450684,
baseline,1,single_pass,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4%,1.0,1.0,1.7461128234863281,
baseline,1,single_pass,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,8,1.0,1.0,1.8427741527557373,
baseline,1,single_pass,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,1.858306646347046,
baseline,1,single_pass,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,3.3002781867980957,
baseline,1,single_pass,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,1.6554272174835205,
baseline,1,single_pass,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,2.128220319747925,
baseline,2,single_pass,K1,keywords,terminology,什么是EPS？,True,"EPS（每股收益，Earnings Per Share）是衡量公司盈利能力的重要财务指标，计算公式为：

\[
\text{EPS} = \frac{\text{净利润} - \text{优先股股息}}{\text{发行在外的普通股加权平均数}}
\]

### 核心要点：
1. **反映盈利能力**：EPS越高，代表公司为每股普通股创造的利润越多。
2. **投资参考**：常用于计算市盈率（P/E），帮助评估股票估值。
3. **类型区分**：
   - **基本EPS**：基于实际已发行股数计算。
   - **稀释EPS**：考虑潜在稀释性证券（如期权、可转债）的影响，更保守。

### 注意事项：
- 需结合行业、公司成长性综合分析，单看EPS可能片面。
- 净利润可能受一次性损益影响，需关注持续经营利润。

例如，若公司净利润1亿元，优先股股息0，普通股加权平均数5000万股，则EPS为2元。投资者可结合股价（如40元）计算市盈率（P/E=20），判断估值水平。",1.0,1.0,9.131716251373291,
baseline,2,single_pass,K2,keywords,terminology,什么是自由现金流（FCF）？,True,自由现金流（FCF）是企业经营活动产生的现金，在扣除维持现有业务运营和资本性支出（如设备、厂房投资）后，剩余的可自由支配的现金。它反映了企业在满足必要投资后，实际可用于偿还债务、支付股息、回购股票或进行新投资的现金能力，是评估企业财务健康和估值的关键指标。,0.0,1.0,3.4620633125305176,
baseline,2,single_pass,K3,keywords,risk,什么是流动性风险？,True,"流动性风险是指**企业或金融机构无法及时以合理成本获得足够资金，以履行到期债务或满足业务需求的风险**。主要分为两类：

1. **融资流动性风险**  
   无法通过借款、发行债券等方式筹集资金，导致无法偿还到期债务。

2. **市场流动性风险**  
   资产无法快速以公允价格变现（如抛售时价格大幅下跌），造成损失。

**常见原因**：  
- 资产负债期限错配（如短期负债投资长期资产）  
- 市场恐慌或信用下降导致融资渠道枯竭  
- 突发性大规模资金流出（如挤兑）

**影响**：可能引发连锁违约，甚至系统性金融危机。金融机构需通过流动性覆盖率（LCR）、净稳定资金比例（NSFR）等指标进行管理。",0.5,1.0,7.18363618850708,
baseline,2,single_pass,K4,keywords,portfolio,什么是分散化投资？,True,"分散化投资是指将资金分配到不同资产类别、行业、地区或投资工具中，以降低整体投资风险的一种策略。其核心原理是“不把鸡蛋放在同一个篮子里”，通过分散配置，减少单一资产或市场波动对投资组合的负面影响。

### 主要特点：
1. **风险分散**：不同资产的价格波动往往不完全同步，某些资产下跌时，其他资产可能上涨或保持稳定，从而平衡整体风险。
2. **收益来源多样化**：通过投资多种资产（如股票、债券、房地产、大宗商品等），捕捉不同市场的增长机会。
3. **降低非系统性风险**：可减少特定公司、行业或地区的突发风险对投资组合的冲击。

### 常见方式：
- **资产类别分散**：配置股票、债券、现金、另类投资等。
- **行业分散**：投资不同行业（如科技、医疗、消费等）。
- **地理分散**：布局全球或不同区域市场。
- **时间分散**：分批买入或定投，避免一次性在高点投入。

### 注意事项：
- 分散化不能完全消除系统性风险（如经济危机）。
- 过度分散可能稀释收益，增加管理成本。
- 需根据个人风险承受能力、投资目标和市场环境动态调整配置。

简而言之，分散化投资是通过多元化组合，在风险可控的前提下追求更稳健的长期回报。",1.0,1.0,10.797950744628906,
baseline,2,single_pass,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,1.90972900390625,
baseline,2,single_pass,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,1.011540174484253,
baseline,2,single_pass,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4,1.0,1.0,1.370002031326294,
baseline,2,single_pass,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,7.7,0.0,1.0,1.4871339797973633,
baseline,2,single_pass,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,1.0131852626800537,
baseline,2,single_pass,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,1.79571533203125,
baseline,2,single_pass,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,1.1451332569122314,
baseline,2,single_pass,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,0.9323475360870361,
modified,1,self_review,K1,keywords,terminology,什么是EPS？,True,EPS（每股收益）是衡量公司盈利能力的重要财务指标，计算公式为净利润除以发行在外的普通股股数。,1.0,1.0,4.0257439613342285,
modified,1,self_review,K2,keywords,terminology,什么是自由现金流（FCF）？,True,自由现金流（FCF）是企业经营活动产生的现金流扣除维持现有资产和必要投资所需的资本支出后，可供股东和债权人自由支配的现金。它反映了企业在满足再投资需求后，实际可分配给投资者的现金能力，是评估企业财务健康、灵活性和估值的关键指标。计算公式通常为：FCF = 营业现金流 - 资本支出。,0.0,1.0,8.492481708526611,
modified,1,self_review,K3,keywords,risk,什么是流动性风险？,True,流动性风险是指资产在市场上无法以合理价格迅速变现或平仓的风险，通常与市场交易量不足或价格波动剧烈相关。,0.0,1.0,5.642674684524536,
modified,1,self_review,K4,keywords,portfolio,什么是分散化投资？,True,分散化投资是通过多元化配置降低风险的投资策略。,0.5,1.0,6.0102152824401855,
modified,1,self_review,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,2.6042656898498535,
modified,1,self_review,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,2.02071213722229,
modified,1,self_review,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4,1.0,1.0,2.0715832710266113,
modified,1,self_review,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,8,1.0,1.0,2.057741165161133,
modified,1,self_review,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,1.6662147045135498,
modified,1,self_review,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,3.5146243572235107,
modified,1,self_review,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,2.9685075283050537,
modified,1,self_review,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,2.4613113403320312,
modified,2,self_review,K1,keywords,terminology,什么是EPS？,True,EPS（每股收益）是衡量公司盈利能力的重要指标，计算公式为：归属于普通股股东的净利润除以发行在外的普通股加权平均数。,1.0,1.0,4.961882829666138,
modified,2,self_review,K2,keywords,terminology,什么是自由现金流（FCF）？,True,自由现金流（FCF）是企业经营活动产生的现金流扣除维持现有资产和必要投资所需的资本支出后，可供股东和债权人自由支配的现金。它反映了企业在维持必要运营和投资后，实际可用于分配、偿债或再投资的现金能力。,0.0,1.0,5.143768548965454,
modified,2,self_review,K3,keywords,risk,什么是流动性风险？,True,流动性风险是指金融机构无法及时以合理成本获得充足资金，以应对资产增长或支付到期债务的风险。,0.0,1.0,4.241395473480225,
modified,2,self_review,K4,keywords,portfolio,什么是分散化投资？,True,分散化投资是通过将资金分配到不同资产类别、行业、地区或证券，以降低整体投资组合风险的投资策略。,1.0,1.0,4.9535441398620605,
modified,2,self_review,N1,numeric,calculation,某股票价格100元，每股收益5元，P/E是多少？只输出数字。,True,20,1.0,1.0,3.4018044471740723,
modified,2,self_review,N2,numeric,calculation,债券面值1000，票息率5%，一年票息是多少？只输出数字。,True,50,1.0,1.0,3.307142496109009,
modified,2,self_review,N3,numeric,calculation,资产组合预期收益率：60%*8% + 40%*4%，结果是多少（百分比）？只输出数字。,True,6.4,1.0,1.0,5.445711851119995,
modified,2,self_review,N4,numeric,calculation,年初净值1.00，年末1.08，年化收益率是多少（百分比）？只输出数字。,True,8,1.0,1.0,3.8313543796539307,
modified,2,self_review,L1,label,classification,情境：通胀高于目标、经济过热。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,B,1.0,1.0,2.977508544921875,
modified,2,self_review,L2,label,classification,情境：经济衰退且通胀回落。货币政策倾向是 A宽松 B紧缩 C不变。只输出A/B/C。,True,A,1.0,1.0,3.415651559829712,
modified,2,self_review,L3,label,classification,资产价格对利率上升最敏感的一般是 A长期债券 B现金 C短债。只输出A/B/C。,True,A,1.0,1.0,2.321788787841797,
modified,2,self_review,L4,label,classification,若组合beta=1.3，通常意味着相对市场 A波动更大 B波动更小 C无关。只输出A/B/C。,True,A,1.0,1.0,1.9190363883972168,
